CODE,LATITUDE,LONGITUDE
TLH,30.401209,-84.35433
RAP,44.04529953,-103.0569992
BFI,47.527042,-122.29995
TEB,40.850101,-74.060799
AVL,35.435488,-82.541853
MRY,36.586777,-121.844183
PIE,27.9102,-82.687401
CAE,33.938172,-81.123022
DAB,29.18255,-81.059464
MDT,40.192838,-76.762333
BGR,44.806364,-68.826668
SFB,28.774277,-81.234626
CAK,40.91609955,-81.44219971
JAC,43.6073,-110.737999
HSV,34.636244,-86.774378
LBB,33.663601,-101.822998
FAT,36.775767,-119.718018
CHO,38.1385994,-78.45290375
CHA,35.035301,-85.203796
VGT,36.209074,-115.193982
MYR,33.679699,-78.928299
ITO,19.72135,-155.045428
FXE,26.19729996,-80.17070007
VNY,34.209801,-118.489998
GRB,44.483459,-88.130805
PDK,33.87633,-84.30213
APA,39.57009888,-104.848999
ISM,28.28980064,-81.43710327
SAF,35.6171,-106.088997
CID,41.884701,-91.7108
FWA,40.978896,-85.194465
SGF,37.245047,-93.388596
FAI,64.815102,-147.856003
SBN,41.708304,-86.316922
ORL,28.5455,-81.332901
EUG,44.124599,-123.211998
AMA,35.217857,-101.706444
FAR,46.9207,-96.815804
GNV,29.69009972,-82.27179718
SWF,41.50421,-74.108901
MYF,32.8157,-117.139999
SBP,35.23680115,-120.6419983
BIL,45.808932,-108.541242
BZN,45.778853,-111.153711
SMO,34.0158,-118.450996
BLI,48.7928009,-122.538002
ROA,37.3255,-79.975403
FSD,43.585463,-96.741152
XNA,36.281898,-94.306801
NEW,30.04240036,-90.02829742
LNK,40.844882,-96.76178
ILM,34.272345,-77.905117
CRQ,33.1283,-117.279999
SDL,33.6228981,-111.9110031
SEZ,34.84859848,-111.788002
ISP,40.796324,-73.101703
LAL,27.989267,-82.020715
STS,38.50899887,-122.8130035
CMA,34.213699,-119.094002
MLB,28.102009,-80.641088
MAF,31.942499,-102.202003
ABE,40.651773,-75.442797
APF,26.15259933,-81.77529907
MOB,30.6912,-88.242798
BED,42.470001,-71.289001
PAE,47.9063,-122.281998
ASE,39.223202,-106.869003
LUK,39.102357,-84.418945
BTR,30.533199,-91.149597
DLH,46.841873,-92.198746
JAN,32.311199,-90.075897
LAN,42.777582,-84.585721
RST,43.908298,-92.5
MKC,39.123199,-94.592796
OPF,25.907,-80.278397
MSO,46.915816,-114.091107
AVP,41.337064,-75.724232
SGJ,29.9592,-81.339798
SAC,38.51250076,-121.4929962
APC,38.2132,-122.280998
CRP,27.770399,-97.501198
ACK,41.25310135,-70.06020355
HXD,32.2244,-80.697502
ADS,32.96860123,-96.83640289
HND,35.97280121,-115.1340027
MFR,42.374199,-122.873001
TVC,44.741402,-85.582199
CCR,37.9897,-122.056999
MVY,41.39310074,-70.61430359
BIS,46.772734,-100.746874
CRW,38.3731,-81.593201
PHF,37.131901,-76.492996
TOL,41.5868,-83.8078
GJT,39.126663,-108.529387
PSM,43.0779,-70.823303
PRC,34.653502,-112.419883
SQL,37.51313,-122.250838
PAO,37.461102,-122.114998
FLG,35.139757,-111.669826
IWA,33.3078,-111.654999
VRB,27.6556,-80.417901
GCN,35.9524,-112.147003
NYL,32.650938,-114.609375
LVK,37.69340134,-121.8199997
GPT,30.405582,-89.069836
PIA,40.663841,-89.692631
AGS,33.3699,-81.9645
FNT,42.969294,-83.743355
JNU,58.354935,-134.574416
WVI,36.93569946,-121.7900009
TRI,36.475201,-82.407401
GTF,47.481998,-111.371002
AZO,42.232105,-85.549637
VPS,30.481315,-86.515839
BFL,35.433601,-119.056999
OSU,40.0798,-83.072998
PRB,35.67290115,-120.6269989
CLL,30.5886,-96.3638
EGE,39.64260101,-106.9179993
FTW,32.819919,-97.360818
MGM,32.300598,-86.393997
PUB,38.289101,-104.497002
ACY,39.456201,-74.577511
BMI,40.4771,-88.915901
CPR,42.907381,-106.461609
EVV,38.03699875,-87.53240204
TTN,40.276699,-74.813499
GPI,48.310501,-114.255997
SGU,37.036389,-113.510306
GON,41.330101,-72.045097
BKL,41.51750183,-81.6832962
AVX,33.4049,-118.416
HWD,37.65919876,-122.1220016
CMI,40.039819,-88.276249
ITH,42.49100113,-76.45839691
TVL,38.89390182,-119.9950027
FRG,40.728576,-73.414267
TMB,25.6479,-80.4328
ATW,44.258515,-88.519
MLI,41.448502,-90.5075
SHV,32.446602,-93.8256
MTH,24.726006,-81.05138
PGD,26.9202,-81.990501
DVT,33.68830109,-112.0830002
LSE,43.879002,-91.256699
MFE,26.176141,-98.237965
PGA,36.924234,-111.447716
HYA,41.6693,-70.280403
HVN,41.262869,-72.887694
CRG,30.3362999,-81.51439667
SEE,32.82619858,-116.9720001
VCB,38.376801,-121.961998
FSM,35.336601,-94.367401
IDA,43.514599,-112.070999
SMX,34.898899,-120.457001
SUS,38.662102,-90.652
HII,34.570506,-114.357745
PWK,42.114222,-87.901494
FPR,27.4951,-80.368301
HFD,41.73669815,-72.6493988
CHD,33.2691,-111.810997
DWH,30.0618,-95.55280304
FFZ,33.4608,-111.727997
OCF,29.17259979,-82.22419739
CYS,41.155701,-104.811997
ELM,42.15990067,-76.89160156
ACT,31.61129951,-97.23049927
BJC,39.908798,-105.116997
UNV,40.849374,-77.84852
IFP,35.154726,-114.559322
TCY,37.68899918,-121.4420013
RFD,42.1954,-89.097198
LNS,40.12170029,-76.2960968
ECP,30.357106,-85.795414
TRK,39.318628,-120.140562
HIO,45.540401,-122.949997
RBD,32.68090057,-96.86820221
RHV,37.332901,-121.819
TOA,33.80339813,-118.3399963
BDR,41.163502,-73.126198
MOD,37.625801,-120.954002
SJT,31.35770035,-100.4960022
FHR,48.523654,-123.024645
POU,41.62659836,-73.88420105
FTY,33.77909851,-84.52140045
FMY,26.58659935,-81.86329651
FDK,39.41759872,-77.3742981
O69,38.25780106,-122.6060028
ABI,32.41130066,-99.68190002
DTS,30.400101,-86.471497
SCK,37.893279,-121.238079
MMU,40.799062,-74.414949
DPA,41.90779877,-88.24859619
HEF,38.721401,-77.515404
OXR,34.20080185,-119.2070007
HAF,37.51340103,-122.5009995
FFA,36.01819992,-75.6713028
SUA,27.18169975,-80.22109985
AHN,33.948842,-83.325634
CDC,37.70100021,-113.098999
COU,38.8181,-92.219597
ERI,42.083127,-80.173867
FAY,34.991199,-78.880302
IAG,43.1073,-78.946198
RDD,40.50899887,-122.2929993
SLN,38.79100037,-97.65219879
DET,42.40919876,-83.00990295
L35,34.263802,-116.856003
PWA,35.53419876,-97.64710236
GFK,47.949299,-97.176102
SPI,39.844101,-89.677902
ORH,42.2673,-71.875702
YIP,42.2379,-83.530403
OGD,41.19589996,-112.012001
SSI,31.1518,-81.391296
I69,39.0784,-84.210197
O22,38.03039932,-120.4150009
FCM,44.82720184,-93.45709991
BRO,25.907238,-97.425235
LFT,30.205299,-91.987602
DRO,37.151501,-107.753998
MHR,38.554744,-121.297989
EEN,42.898399,-72.270798
SDM,32.572639,-116.980019
CDW,40.87519836,-74.28140259
FUL,33.87200165,-117.9800034
PVU,40.218894,-111.722445
RDM,44.254101,-121.150002
IGM,35.259499,-113.938004
TRM,33.62670135,-116.1600037
AUN,38.95479965,-121.0820007
CNO,33.97470093,-117.637001
RNT,47.49309921,-122.2160034
LYH,37.326698,-79.200401
PSC,46.264702,-119.119003
ROW,33.301601,-104.530998
TYR,32.35409927,-95.40239716
GLS,29.265301,-94.860397
GFL,43.34120178,-73.61029816
PTK,42.66550064,-83.42009735
LZU,33.97809982,-83.96240234
LXV,39.22029877,-106.3170013
F70,33.5742,-117.127998
GIF,28.062901,-81.753304
HRL,26.22850037,-97.65440369
LEB,43.62609863,-72.30419922
MOT,48.25801,-101.279123
ILG,39.678699,-75.606499
PNE,40.082406,-75.010614
MER,37.38050079,-120.5680008
TIX,28.51479912,-80.79920197
RVS,36.0396,-95.984596
CPS,38.5707016,-90.15619659
CGZ,32.954899,-111.766998
3O8,36.247813,-120.238323
IXD,38.830898,-94.890297
DVO,38.14360046,-122.5559998
LBE,40.275902,-79.4048
GGG,32.38399887,-94.71150208
MLU,32.510899,-92.037697
IPT,41.242126,-76.92245
HHR,33.922798,-118.334999
BAF,42.157799,-72.715599
JZI,32.698238,-80.005675
RYN,32.14220047,-111.1750031
VNC,27.070541,-82.440815
LCK,39.813801,-82.927803
HLN,46.6068,-111.983002
AGC,40.354401,-79.930199
MCC,38.667599,-121.401001
RYY,34.01316,-84.59721
BLH,33.61920166,-114.7170029
SGR,29.62229919,-95.65650177
LOU,38.22800064,-85.66369629
LCI,43.572701,-71.4189
BGM,42.20869827,-75.97979736
CSG,32.516415,-84.939602
MBS,43.533181,-84.083104
LRD,27.5438,-99.461601
BHB,44.45000076,-68.3615036
CNY,38.755001,-109.754997
RAL,33.9519,-117.445
BCT,26.3785,-80.107697
FNL,40.44969,-105.011272
OWD,42.19049835,-71.17289734
RBL,40.15069962,-122.2519989
CIC,39.795595,-121.857716
GTU,30.677543,-97.678524
JVL,42.62030029,-89.04160309
ASH,42.7817,-71.514801
PVC,42.07189941,-70.2213974
EAU,44.86579895,-91.48429871
HOT,34.4788,-93.096262
MHK,39.14099884,-96.67079926
LBF,41.12620163,-100.6839981
SBY,38.34049988,-75.51029968
STP,44.93479,-93.060036
MTJ,38.5098,-107.893997
BWG,36.96450043,-86.41970062
BID,41.168446,-71.578631
BKV,28.469461,-82.457114
C83,37.82647,-121.621699
SBD,34.096717,-117.236596
ACV,40.978101,-124.109
GCK,37.92750168,-100.723999
JQF,35.387798,-80.709099
SNS,36.66279984,-121.6060028
GMU,34.847903,-82.350217
LEE,28.82309914,-81.80870056
TOP,39.069899,-95.622606
WWD,39.00849915,-74.90830231
TKI,33.177898,-96.5905
DTO,33.201769,-97.197983
OJC,38.84759903,-94.73760223
AEX,31.325828,-92.546702
DBQ,42.402,-90.709503
EKO,40.82490158,-115.7919998
AFW,32.99044,-97.31947
PAH,37.06079865,-88.77380371
SUX,42.397605,-96.382237
IPL,32.83539,-115.574026
SHD,38.263802,-78.8964
MMV,45.194401,-123.136002
UKI,39.125999,-123.200996
WJF,34.7411,-118.219002
FLD,43.77119827,-88.48840332
LXT,38.959702,-94.371399
AVQ,32.409065,-111.216199
MEV,39.00030136,-119.7509995
PHK,26.78499985,-80.69339752
RNM,33.0392,-116.915001
E16,37.08160019,-121.5970001
SPG,27.7651,-82.626999
CNM,32.33750153,-104.2630005
RUT,43.5294,-72.9496
YNG,41.26070023,-80.67910004
BVU,35.947161,-114.858799
DXR,41.371656,-73.482227
STJ,39.77190018,-94.90969849
PWT,47.49020004,-122.7649994
COE,47.7743,-116.82
CRE,33.81169891,-78.72389984
JWN,36.1824,-86.886703
FIN,29.4674,-81.206299
PVF,38.7242012,-120.7529984
WLW,39.51639938,-122.2180023
SPS,33.9888,-98.491898
BRD,46.402861,-94.129727
TCL,33.2206,-87.611397
HUT,38.06549835,-97.86060333
LWM,42.71720123,-71.12339783
FDY,41.01350021,-83.66870117
OKB,33.217947,-117.351683
SSF,29.33699989,-98.47109985
VIS,36.318699,-119.392998
BDN,44.09479904,-121.2009964
EMT,34.086102,-118.035004
T82,30.2432,-98.909203
JKA,30.290501,-87.671799
EYE,39.83069992,-86.29440308
MKY,25.995001,-81.672501
PAN,34.25680161,-111.3389969
BQK,31.258801,-81.466499
GYY,41.617087,-87.413206
SAW,46.351498,-87.395884
MEI,32.3326,-88.7519
RDG,40.378502,-75.965202
HDN,40.481201,-107.218002
TIW,47.267407,-122.577295
FOE,38.950901,-95.663597
INT,36.13370132,-80.22200012
CXO,30.351801,-95.414497
BVY,42.584202,-70.916496
CON,43.20270157,-71.50229645
DAG,34.85369873,-116.7870026
MHV,35.056391,-118.145342
ARB,42.22299957,-83.74559784
ESN,38.804199,-76.069
CVH,36.8932991,-121.4100037
POC,34.09159851,-117.7819977
DHN,31.32130051,-85.44960022
GRI,40.96749878,-98.30960083
HTS,38.366699,-82.557999
KTN,55.35559845,-131.7140045
LMT,42.156101,-121.733002
PIH,42.90980148,-112.5960007
OLM,46.969399,-122.903
MFD,40.82139969,-82.51660156
MIE,40.242298,-85.395897
HYI,29.8927,-97.862999
INW,35.02190018,-110.7229996
APV,34.57529831,-117.185997
CGC,28.867246,-82.571009
JPX,40.959954,-72.25105
JEF,38.59120178,-92.15609741
ERV,29.9767,-99.085701
ANE,45.145,-93.211401
O88,38.19340134,-121.7040024
I74,40.132599,-83.753403
,30.212099,-85.6828
JLN,37.151798,-94.498299
EWB,41.67610168,-70.95690155
OTH,43.417099,-124.2460022
ALO,42.55709839,-92.40029907
AWO,48.161448,-122.158442
ORS,48.708199,-122.910004
HGR,39.708771,-77.728014
MCE,37.284698,-120.514
WYS,44.6884,-111.117996
WST,41.349602,-71.803398
UAO,45.24710083,-122.7699966
L45,35.324799,-118.996002
ENV,40.71870041,-114.0309982
MTP,41.0765,-71.920797
GKY,32.66389847,-97.09429932
AUO,32.615101,-85.433998
L08,33.25899887,-116.3209991
11R,30.219,-96.374298
BVS,48.470901,-122.420998
1O2,38.99060059,-122.901001
LWC,39.01119995,-95.21659851
MCD,45.86489868,-84.63729858
L52,35.101398,-120.622002
SFM,43.39390182,-70.70800018
GKT,35.85779953,-83.52870178
PIR,44.38270187,-100.2860031
TWF,42.4818,-114.487999
AEG,35.145199,-106.794998
MRI,61.212792,-149.843988
SUN,43.50439835,-114.2959976
LWB,37.857914,-80.400438
CWA,44.777448,-89.670238
TEX,37.9538,-107.907997
LAF,40.412875,-86.939363
EFD,29.6072998,-95.15879822
ADM,34.30301,-97.0196342
CDK,29.134095,-83.050783
TZR,39.901199,-83.136902
HMT,33.73400116,-117.0230026
JYO,39.077999,-77.557503
LHM,38.909199,-121.350998
MPI,37.51089859,-120.0400009
7B2,42.328098,-72.611397
OBE,27.26280022,-80.84980011
FOK,40.84370041,-72.63179779
JGG,37.239201,-76.716103
BPT,29.9508,-94.020699
CGI,37.2253,-89.570801
MGW,39.643305,-79.917598
PLN,45.57089996,-84.79669952
ART,43.991901,-76.021698
HYS,38.844521,-99.273148
PCW,41.515647,-82.868328
PUW,46.741601,-117.11163
SWO,36.162132,-97.085581
BMG,39.14599991,-86.61669922
AST,46.15800095,-123.8789978
BAZ,29.7045,-98.042198
TTD,45.54940033,-122.401001
BLM,40.18690109,-74.12490082
BDU,40.039101,-105.226025
PVG,36.780391,-76.44881
AJO,33.897701,-117.601997
GOO,39.223998,-121.002997
1O3,38.20240021,-121.2679977
LMO,40.1637,-105.163002
MGJ,41.50999832,-74.26460266
OXC,41.47859955,-73.1352005
FFC,33.3573,-84.5718
PMP,26.24710083,-80.11109924
SPB,45.771,-122.862
TMK,45.41820145,-123.814003
ABR,45.44910049,-98.42179871
ADW,38.810799,-76.866997
FLO,34.1853981,-79.72389984
OWB,37.74010086,-87.16680145
STC,45.5466,-94.059898
MTN,39.325699,-76.413803
SGH,39.84030151,-83.84020233
CXP,39.194331,-119.734312
HWO,26.0012,-80.2407
MMH,37.625381,-118.84306
UDD,33.748492,-116.275027
KO61,38.683998,-120.987999
CTY,29.63549995,-83.10479736
L06,36.463799,-116.880997
DED,29.066999,-81.283798
FIT,42.55410004,-71.75900269
GVL,34.27259827,-83.8302002
1B1,42.291302,-73.710297
IMM,26.427933,-81.403531
IOW,41.6391983,-91.54650116
LLR,39.26200104,-123.7539978
OUN,35.2456,-97.472099
RTS,39.6674,-119.875999
SZP,34.34719849,-119.060997
ABY,31.532946,-84.196215
LAR,41.31209946,-105.6750031
MCN,32.69279861,-83.64920044
MSL,34.745123,-87.612981
RKS,41.5942,-109.065001
TXK,33.453701,-93.990997
SKF,29.38419914,-98.58110046
LWS,46.37450027,-117.0149994
MQY,36.00899887,-86.52010345
BCE,37.70640183,-112.1449966
FMN,36.741199,-108.230003
OLS,31.4177,-110.848
BEH,42.12860107,-86.42849731
CLS,46.676998,-122.983002
FWS,32.565201,-97.308098
GLE,33.65140152,-97.1969986
GXY,40.43740082,-104.6330032
HQZ,32.747002,-96.530403
44N,41.707401,-73.737999
WHP,34.2593,-118.413002
IZA,34.60680008,-120.0759964
0Q5,40.028167,-124.074305
LCH,30.12610054,-93.22329712
EWN,35.07300186,-77.04290009
CLM,48.120201,-123.5
VLD,30.78249931,-83.27670288
MCW,43.159801,-93.329716
HKY,35.74110031,-81.38950348
HUF,39.4515,-87.307602
BFM,30.62680054,-88.06809998
AKR,41.037355,-81.46784
AND,34.49459839,-82.70939636
X51,25.499201,-80.554296
ENW,42.59569931,-87.92780304
EED,34.7663002,-114.6230011
PNC,36.73199844,-97.09980011
RME,43.23379898,-75.40699768
SVR,40.619499,-111.992996
BOW,27.943399,-81.783401
06C,41.98929977,-88.10119629
GAI,39.168301,-77.166
E63,32.95809937,-112.6780014
GEU,33.52690125,-112.2949982
GYR,33.42250061,-112.3759995
MQI,35.91879,-75.695662
SFZ,41.92079926,-71.49140167
PSF,42.4268,-73.2929
S43,47.908199,-122.105003
SLR,33.15980148,-95.62110138
VDF,28.01399994,-82.34529877
AAO,37.74760056,-97.22109985
X60,29.35420036,-82.47290039
PBG,44.650902,-73.468102
MKG,43.169498,-86.238197
SLE,44.9095,-123.002998
SFF,47.682899,-117.321925
CVO,44.49720001,-123.2900009
IKK,41.07139969,-87.84629822
ISO,35.33140183,-77.6088028
LGU,41.79119873,-111.8519974
RMG,34.3506012,-85.15799713
2O3,38.578499,-122.434998
BWD,31.79360008,-98.95649719
VPC,34.1231,-84.848701
CEU,34.6719017,-82.8864975
DVN,41.610432,-90.589693
EDU,38.531502,-121.786489
DWA,38.57910156,-121.8570023
DLZ,40.279701,-83.114799
CFO,39.784194,-104.537639
EMP,38.33209991,-96.19120026
L18,33.35419846,-117.2509995
GED,38.689201,-75.358902
HCR,40.4818,-111.429001
LCQ,30.181999,-82.576897
LSN,37.06290054,-120.8690033
OMN,29.30060005,-81.11360168
K15,38.1105,-92.680496
PYM,41.909,-70.728798
PHN,42.9109993,-82.52890015
ANJ,46.479198,-84.368401
DTN,32.54019928,-93.74500275
6B6,42.460298,-71.519031
VUO,45.620499,-122.655998
F45,26.8444,-80.221298
O41,38.673901,-121.872002
IRK,40.09349823,-92.54489899
PKB,39.3451,-81.439201
BFF,41.87400055,-103.5960007
SIT,57.04710007,-135.3619995
YKM,46.56819916,-120.5439987
BIH,37.3731,-118.363998
GCC,44.3489,-105.539001
UUU,41.532207,-71.281039
EDC,30.398049,-97.566909
JXN,42.260509,-84.463019
BAK,39.262386,-85.895576
MYV,39.09780121,-121.5699997
SCH,42.85250092,-73.92890167
EDF,61.251709,-149.807097
DRT,29.37420082,-100.927002
GLD,39.370701,-101.699753
PRX,33.63660049,-95.45079803
TPH,38.06019974,-117.086998
AMW,41.992001,-93.621803
EKY,33.312901,-86.925903
CXL,32.66949844,-115.5130005
IGQ,41.534901,-87.529503
P08,32.935902,-111.427002
DIJ,43.742667,-111.096829
GVT,33.06779861,-96.06529999
IWS,29.818199,-95.6726
UNU,43.42660141,-88.70320129
DKX,35.963902,-83.873901
COI,28.34160042,-80.6855011
FCI,37.406502,-77.525002
O27,37.75630188,-120.8000031
OVE,39.4878006,-121.6220016
0Q9,38.257702,-122.433998
VCV,34.59749985,-117.3830032
E25,33.970172,-112.796043
BRL,40.78319931,-91.12550354
BTM,45.95479965,-112.4970016
GTR,33.450298,-88.5914
FFO,39.826099,-84.048302
DUJ,41.17829895,-78.8986969
MKK,21.152901,-157.095993
UIN,39.942699,-91.194603
TUP,34.26810074,-88.76989746
VCT,28.8526001,-96.91850281
ALS,37.434898,-105.866997
COD,44.520199,-109.024002
GUP,35.511653,-108.788166
HOB,32.6875,-103.217003
OXB,38.310398,-75.124001
OAJ,34.829201,-77.612099
VEL,40.436214,-109.511661
BTL,42.307301,-85.251503
RIV,33.880699,-117.259003
ALN,38.89030075,-90.04599762
VPZ,41.45399857,-87.00710297
LFK,31.23399925,-94.75
ONP,44.580399,-124.057999
S03,42.190265,-122.660648
P52,34.73,-112.035004
4S2,45.67259979,-121.5360031
TME,29.807199,-95.897903
TYQ,40.030701,-86.251404
JVY,38.365398,-85.738197
09J,31.074499,-81.427803
20N,41.985298,-73.964104
X14,26.7442,-81.432602
LGC,33.008873,-85.074331
LUA,38.667099,-78.500603
MKT,44.224781,-93.919128
MRT,40.224701,-83.351601
MSV,41.701596,-74.794997
OLV,34.97869873,-89.78690338
ORE,42.57009888,-72.28859711
PTV,36.02959824,-119.0630035
RKP,28.08679962,-97.04460144
CPU,38.14609909,-120.6480026
0Q3,38.223499,-122.449997
SEP,32.215302,-98.177696
OKV,39.14350128,-78.14440155
CEC,41.778929,-124.236403
DEC,39.83459854,-88.86569977
MKL,35.599899,-88.915604
LRU,32.289398,-106.921997
LBL,37.0442009,-100.9599991
SLK,44.38691,-74.204629
PGV,35.635535,-77.384262
LAW,34.567699,-98.416603
MYL,44.888837,-116.101112
HQM,46.97119904,-123.9369965
ZZV,39.94440079,-81.89209747
TPL,31.1525,-97.407799
CGF,41.56510162,-81.48639679
CEW,30.77879906,-86.52210236
OQU,41.5970993,-71.41210175
DLS,45.620979,-121.170777
FME,39.0854,-76.759399
UTS,30.74690056,-95.58719635
VQQ,30.2187,-81.876701
DLL,43.522701,-89.770203
BVO,36.762501,-96.0112
BUY,36.04850006,-79.47489929
O08,39.17900085,-121.9929962
DKB,41.936316,-88.704128
FHB,30.611799,-81.461197
FCH,36.732399,-119.82
HAO,39.36380005,-84.52200317
HDC,30.521601,-90.418404
OFP,37.709,-77.436699
MDQ,34.8614006,-86.55750275
MZJ,32.51060104,-111.3280029
MNN,40.61619949,-83.06349945
MAN,43.581299,-116.523003
MLE,41.195877,-96.112107
K81,38.53971,-94.920517
1G4,35.985787,-113.817072
W29,38.976398,-76.329597
SFQ,36.6824,-76.601898
TOC,34.5938,-83.295799
CCB,34.111599,-117.688004
CKB,39.2966,-80.228104
DDC,37.76340103,-99.96559906
FHU,31.587383,-110.348225
JBR,35.83169937,-90.64640045
SHR,44.76919937,-106.9800034
GUC,38.534672,-106.934566
HOM,59.644456,-151.479235
MWA,37.751208,-89.016568
MCK,40.207787,-100.592794
SOW,34.264062,-110.007091
EAT,47.398899,-120.207001
LOZ,37.0821991,-84.0848999
NKX,32.86840057,-117.1429977
ADH,34.805214,-96.671988
DMN,32.26229858,-107.7210007
EKA,40.803398,-124.112999
LAA,38.066407,-102.691373
NZY,32.69919968,-117.2149963
HLG,40.17499924,-80.64630127
L70,34.503616,-118.312926
BNG,33.922548,-116.850672
BMC,41.552399,-112.061996
BMQ,30.738899,-98.238602
EUL,43.641899,-116.636002
CGE,38.53929901,-76.03040314
ARR,41.77190018,-88.47570038
X01,25.84869957,-81.39009857
IYK,35.65879822,-117.8300018
LHX,38.049702,-103.509003
LKP,44.26449966,-73.9618988
AOH,40.706902,-84.026703
A39,32.990806,-111.918528
OAR,36.68190002,-121.762001
MTV,36.630699,-80.018303
C29,43.1143,-89.531502
MDD,32.03649902,-102.1009979
PHD,40.47090149,-81.41970062
N40,40.56629944,-74.97859955
0S9,48.053799,-122.810997
3W2,41.6367,-82.8283
RGK,44.589401,-92.485001
RIR,33.9897,-117.411003
0G7,42.883598,-76.782246
SUT,33.929298,-78.074997
TSP,35.13499832,-118.439003
AYS,31.24909973,-82.39550018
CBE,39.615398,-78.760902
O43,39.0041008,-119.1579971
,41.858799,-87.607903
BLV,38.5452,-89.835197
SUU,38.262699,-121.927002
HRO,36.26150131,-93.15470123
MSS,44.936157,-74.844304
PQI,46.688999,-68.0448
EAR,40.727001,-99.006798
MWL,32.781601,-98.060204
MRB,39.40190125,-77.98459625
MIV,39.367802,-75.072197
FYV,36.00510025,-94.17009735
NQA,35.356701,-89.8703
BJI,47.50939941,-94.93370056
67L,36.833105,-114.055928
,48.177898,-103.641998
1K1,37.7779007,-97.1135025
BCB,37.20759964,-80.40779877
UKL,38.302502,-95.724998
BUM,38.28979874,-94.34010315
O05,40.28239822,-121.2409973
LOT,41.6073,-88.096199
UGN,42.42219925,-87.86789703
CLW,27.97669983,-82.75869751
2IS,26.735195,-81.051078
GDK,39.690807,-83.992585
DTA,39.38059998,-112.5080032
1B2,41.358299,-70.524399
F72,38.30490112,-121.4300003
GAD,33.972599,-86.088996
GPM,32.698799,-97.046898
0L7,35.768299,-115.330002
TKX,36.22589874,-90.03659821
L05,35.728194,-118.41975
AQO,30.78370094,-98.66200256
UYF,39.932701,-83.461998
47N,40.5243988,-74.5983963
MYJ,39.157501,-91.818298
MPO,41.136025,-75.379572
EVB,29.0557,-80.948898
CCO,33.3116,-84.769798
OWI,38.5387,-95.252998
RAS,27.8118,-97.088799
PTW,40.239601,-75.556702
F46,32.930599,-96.435501
RBG,43.23880005,-123.3560028
SEF,27.45639992,-81.3423996
